config,modalite,num_epochs,learning_rate,optimizer,scheduler,val_loss,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs100_lr0.001_optAdam_schedReduceLROnPlateau,HS_sans_other,100,0.001,Adam,ReduceLROnPlateau,0.4971845258365978,0.5900621118012422,0.6086956521739131,0.5714285714285714,
config1_epochs100_lr0.001_optAdam_schedStepLR,HS_sans_other,100,0.001,Adam,StepLR,0.5021227598190308,0.5885476795197413,0.6197183098591549,0.5573770491803278,
config2_epochs100_lr0.001_optSGD_schedReduceLROnPlateau,HS_sans_other,100,0.001,SGD,ReduceLROnPlateau,0.46817018769004126,0.6350230414746544,0.6571428571428571,0.6129032258064516,
config3_epochs100_lr0.001_optSGD_schedStepLR,HS_sans_other,100,0.001,SGD,StepLR,0.4916934714172826,0.6001863932898416,0.6486486486486487,0.5517241379310345,
config4_epochs100_lr0.0001_optAdam_schedReduceLROnPlateau,HS_sans_other,100,0.0001,Adam,ReduceLROnPlateau,0.45679672920342645,0.52090112640801,0.3829787234042553,0.6588235294117647,
config5_epochs100_lr0.0001_optAdam_schedStepLR,HS_sans_other,100,0.0001,Adam,StepLR,0.48256085858200537,0.5694315004659832,0.6216216216216216,0.5172413793103449,
config6_epochs100_lr0.0001_optSGD_schedReduceLROnPlateau,HS_sans_other,100,0.0001,SGD,ReduceLROnPlateau,0.576670476884553,0.6046082949308755,0.5806451612903226,0.6285714285714286,
config7_epochs100_lr0.0001_optSGD_schedStepLR,HS_sans_other,100,0.0001,SGD,StepLR,0.5989472577066133,0.5908151549942595,0.5846153846153846,0.5970149253731343,
config8_epochs200_lr0.001_optAdam_schedReduceLROnPlateau,HS_sans_other,200,0.001,Adam,ReduceLROnPlateau,0.5142283141613007,0.578544061302682,0.4444444444444444,0.7126436781609196,
config9_epochs200_lr0.001_optAdam_schedStepLR,HS_sans_other,200,0.001,Adam,StepLR,0.48664325295072614,0.6239316239316239,0.5555555555555556,0.6923076923076923,
config10_epochs200_lr0.001_optSGD_schedReduceLROnPlateau,HS_sans_other,200,0.001,SGD,ReduceLROnPlateau,0.4990956819418705,0.6333333333333333,0.6666666666666666,0.6,
config11_epochs200_lr0.001_optSGD_schedStepLR,HS_sans_other,200,0.001,SGD,StepLR,0.514195077347033,0.651435132032147,0.6567164179104478,0.6461538461538462,
config12_epochs200_lr0.0001_optAdam_schedReduceLROnPlateau,HS_sans_other,200,0.0001,Adam,ReduceLROnPlateau,0.48304872259949194,0.6190256291849457,0.647887323943662,0.5901639344262295,
config13_epochs200_lr0.0001_optAdam_schedStepLR,HS_sans_other,200,0.0001,Adam,StepLR,0.4790903546593406,0.6027777777777777,0.6388888888888888,0.5666666666666667,
config14_epochs200_lr0.0001_optSGD_schedReduceLROnPlateau,HS_sans_other,200,0.0001,SGD,ReduceLROnPlateau,0.5470533298723625,0.6458536585365854,0.56,0.7317073170731707,
config15_epochs200_lr0.0001_optSGD_schedStepLR,HS_sans_other,200,0.0001,SGD,StepLR,0.5594549829309637,0.586254933828651,0.5423728813559322,0.6301369863013698,
