config,modalite,num_epochs,learning_rate,optimizer,scheduler,val_loss,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs100_lr0.001_optAdam_schedReduceLROnPlateau,MS,100,0.001,Adam,ReduceLROnPlateau,0.6555396258228957,0.6122190366435243,0.5277777777777778,0.5970149253731343,0.711864406779661
config1_epochs100_lr0.001_optAdam_schedStepLR,MS,100,0.001,Adam,StepLR,0.6780567331747576,0.5952380952380952,0.4444444444444444,0.6111111111111112,0.7301587301587301
config2_epochs100_lr0.001_optSGD_schedReduceLROnPlateau,MS,100,0.001,SGD,ReduceLROnPlateau,0.6484902046545588,0.6418117914308171,0.4918032786885246,0.676056338028169,0.7575757575757576
config3_epochs100_lr0.001_optSGD_schedStepLR,MS,100,0.001,SGD,StepLR,0.6631642622177047,0.6531738902612471,0.5245901639344263,0.684931506849315,0.75
config4_epochs100_lr0.0001_optAdam_schedReduceLROnPlateau,MS,100,0.0001,Adam,ReduceLROnPlateau,0.640240251265391,0.6573700716845877,0.53125,0.6666666666666666,0.7741935483870968
config5_epochs100_lr0.0001_optAdam_schedStepLR,MS,100,0.0001,Adam,StepLR,0.6270952865932927,0.6324221200693148,0.4918032786885246,0.647887323943662,0.7575757575757576
config6_epochs100_lr0.0001_optSGD_schedReduceLROnPlateau,MS,100,0.0001,SGD,ReduceLROnPlateau,0.7103036527681832,0.6204067197170645,0.4827586206896552,0.64,0.7384615384615385
config7_epochs100_lr0.0001_optSGD_schedStepLR,MS,100,0.0001,SGD,StepLR,0.7777758905983935,0.5311407100880785,0.16216216216216217,0.6736842105263158,0.7575757575757576
config8_epochs200_lr0.001_optAdam_schedReduceLROnPlateau,MS,200,0.001,Adam,ReduceLROnPlateau,0.6632144884629683,0.6577014383465997,0.5454545454545454,0.6857142857142857,0.7419354838709677
config9_epochs200_lr0.001_optAdam_schedStepLR,MS,200,0.001,Adam,StepLR,0.6612881566538955,0.5995199625336611,0.43333333333333335,0.6575342465753424,0.7076923076923077
config10_epochs200_lr0.001_optSGD_schedReduceLROnPlateau,MS,200,0.001,SGD,ReduceLROnPlateau,0.626718895603912,0.6534958666106206,0.5245901639344263,0.6666666666666666,0.7692307692307693
config11_epochs200_lr0.001_optSGD_schedStepLR,MS,200,0.001,SGD,StepLR,0.6608047656940691,0.6303030303030303,0.4666666666666667,0.6666666666666666,0.7575757575757576
config12_epochs200_lr0.0001_optAdam_schedReduceLROnPlateau,MS,200,0.0001,Adam,ReduceLROnPlateau,0.6617195859099879,0.675616458704694,0.5625,0.6764705882352942,0.7878787878787878
config13_epochs200_lr0.0001_optAdam_schedStepLR,MS,200,0.0001,Adam,StepLR,0.6487624542881744,0.6531738902612471,0.5245901639344263,0.684931506849315,0.75
config14_epochs200_lr0.0001_optSGD_schedReduceLROnPlateau,MS,200,0.0001,SGD,ReduceLROnPlateau,0.6713301152592958,0.6304688459011185,0.4528301886792453,0.6923076923076923,0.746268656716418
config15_epochs200_lr0.0001_optSGD_schedStepLR,MS,200,0.0001,SGD,StepLR,0.7719500684978986,0.535042735042735,0.2,0.6666666666666666,0.7384615384615385
