config,modalite,num_epochs,learning_rate,optimizer,scheduler,val_loss,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs100_lr0.001_optAdam_schedReduceLROnPlateau,MS_HS,100,0.001,Adam,ReduceLROnPlateau,0.6754646478879331,0.633968253968254,0.5,0.64,0.7619047619047619
config1_epochs100_lr0.001_optAdam_schedStepLR,MS_HS,100,0.001,Adam,StepLR,0.6762088991776861,0.6275995246583482,0.5151515151515151,0.6176470588235294,0.75
config2_epochs100_lr0.001_optSGD_schedReduceLROnPlateau,MS_HS,100,0.001,SGD,ReduceLROnPlateau,0.66220804747909,0.653968253968254,0.4727272727272727,0.7012987012987013,0.7878787878787878
config3_epochs100_lr0.001_optSGD_schedStepLR,MS_HS,100,0.001,SGD,StepLR,0.6832344805953479,0.6620418147765929,0.48148148148148145,0.7105263157894737,0.7941176470588235
config4_epochs100_lr0.0001_optAdam_schedReduceLROnPlateau,MS_HS,100,0.0001,Adam,ReduceLROnPlateau,0.6648080806539516,0.60954681389464,0.35555555555555557,0.6904761904761905,0.782608695652174
config5_epochs100_lr0.0001_optAdam_schedStepLR,MS_HS,100,0.0001,Adam,StepLR,0.668930304170859,0.6746938470728793,0.5483870967741935,0.6944444444444444,0.78125
config6_epochs100_lr0.0001_optSGD_schedReduceLROnPlateau,MS_HS,100,0.0001,SGD,ReduceLROnPlateau,0.695352290615891,0.6010254210456435,0.34782608695652173,0.6976744186046512,0.7575757575757576
config7_epochs100_lr0.0001_optSGD_schedStepLR,MS_HS,100,0.0001,SGD,StepLR,0.7630116412735949,0.5684981684981686,0.2857142857142857,0.6813186813186813,0.7384615384615385
config8_epochs200_lr0.001_optAdam_schedReduceLROnPlateau,MS_HS,200,0.001,Adam,ReduceLROnPlateau,0.6754378974437714,0.6473304473304473,0.509090909090909,0.6753246753246753,0.7575757575757576
config9_epochs200_lr0.001_optAdam_schedStepLR,MS_HS,200,0.001,Adam,StepLR,0.6934501522719257,0.6388040900833575,0.4827586206896552,0.6575342465753424,0.7761194029850746
config10_epochs200_lr0.001_optSGD_schedReduceLROnPlateau,MS_HS,200,0.001,SGD,ReduceLROnPlateau,0.6789640796304953,0.624435367917446,0.391304347826087,0.7058823529411765,0.7761194029850746
config11_epochs200_lr0.001_optSGD_schedStepLR,MS_HS,200,0.001,SGD,StepLR,0.688496607120591,0.6324065058242273,0.4444444444444444,0.6835443037974683,0.7692307692307693
config12_epochs200_lr0.0001_optAdam_schedReduceLROnPlateau,MS_HS,200,0.0001,Adam,ReduceLROnPlateau,0.6646152313309487,0.6471602705779921,0.4642857142857143,0.6835443037974683,0.7936507936507936
config13_epochs200_lr0.0001_optAdam_schedStepLR,MS_HS,200,0.0001,Adam,StepLR,0.6414188182715214,0.6191688770999115,0.4482758620689655,0.64,0.7692307692307693
config14_epochs200_lr0.0001_optSGD_schedReduceLROnPlateau,MS_HS,200,0.0001,SGD,ReduceLROnPlateau,0.7503932958299463,0.5602836879432624,0.25,0.6808510638297872,0.75
config15_epochs200_lr0.0001_optSGD_schedStepLR,MS_HS,200,0.0001,SGD,StepLR,0.7375810715285215,0.5702075702075703,0.23809523809523808,0.7032967032967034,0.7692307692307693
