config,modalite,num_epochs,learning_rate,optimizer,scheduler,val_loss,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs100_lr0.001_optAdam_schedReduceLROnPlateau,RGB_MS_HS,100,0.001,Adam,ReduceLROnPlateau,0.6840842414383936,0.6713173018753782,0.5172413793103449,0.6842105263157895,0.8125
config1_epochs100_lr0.001_optAdam_schedStepLR,RGB_MS_HS,100,0.001,Adam,StepLR,0.6575092998417941,0.6412062785811395,0.4827586206896552,0.6666666666666666,0.7741935483870968
config2_epochs100_lr0.001_optSGD_schedReduceLROnPlateau,RGB_MS_HS,100,0.001,SGD,ReduceLROnPlateau,0.6395257681307166,0.6304195804195803,0.4230769230769231,0.65,0.8181818181818182
config3_epochs100_lr0.001_optSGD_schedStepLR,RGB_MS_HS,100,0.001,SGD,StepLR,0.672484445451486,0.664808020809069,0.49056603773584906,0.691358024691358,0.8125
config4_epochs100_lr0.0001_optAdam_schedReduceLROnPlateau,RGB_MS_HS,100,0.0001,Adam,ReduceLROnPlateau,0.672197927730252,0.6220130066545675,0.4482758620689655,0.6052631578947368,0.8125
config5_epochs100_lr0.0001_optAdam_schedStepLR,RGB_MS_HS,100,0.0001,Adam,StepLR,0.7500990954312411,0.5755236576289208,0.38596491228070173,0.6133333333333333,0.7272727272727273
config6_epochs100_lr0.0001_optSGD_schedReduceLROnPlateau,RGB_MS_HS,100,0.0001,SGD,ReduceLROnPlateau,0.7247142886573618,0.5656288156288156,0.35714285714285715,0.5897435897435898,0.75
config7_epochs100_lr0.0001_optSGD_schedStepLR,RGB_MS_HS,100,0.0001,SGD,StepLR,0.763862907284438,0.5710333027406198,0.24390243902439024,0.6813186813186813,0.7878787878787878
config8_epochs200_lr0.001_optAdam_schedReduceLROnPlateau,RGB_MS_HS,200,0.001,Adam,ReduceLROnPlateau,0.6779497612004328,0.6162040510127532,0.4,0.6744186046511628,0.7741935483870968
config9_epochs200_lr0.001_optAdam_schedStepLR,RGB_MS_HS,200,0.001,Adam,StepLR,0.7089352243476443,0.5912349849849851,0.43333333333333335,0.6216216216216216,0.71875
config10_epochs200_lr0.001_optSGD_schedReduceLROnPlateau,RGB_MS_HS,200,0.001,SGD,ReduceLROnPlateau,0.6781059425286572,0.6354607004158505,0.4528301886792453,0.6666666666666666,0.7868852459016393
config11_epochs200_lr0.001_optSGD_schedStepLR,RGB_MS_HS,200,0.001,SGD,StepLR,0.6683815482890967,0.6591093913150298,0.48,0.691358024691358,0.8059701492537313
config12_epochs200_lr0.0001_optAdam_schedReduceLROnPlateau,RGB_MS_HS,200,0.0001,Adam,ReduceLROnPlateau,0.6478366300915227,0.6372420634920635,0.44,0.6904761904761905,0.78125
config13_epochs200_lr0.0001_optAdam_schedStepLR,RGB_MS_HS,200,0.0001,Adam,StepLR,0.6694752122416641,0.6093770841670002,0.3673469387755102,0.6666666666666666,0.7941176470588235
config14_epochs200_lr0.0001_optSGD_schedReduceLROnPlateau,RGB_MS_HS,200,0.0001,SGD,ReduceLROnPlateau,0.7139714423454169,0.5404189412346302,0.18604651162790697,0.6590909090909091,0.7761194029850746
config15_epochs200_lr0.0001_optSGD_schedStepLR,RGB_MS_HS,200,0.0001,SGD,StepLR,0.7308001166040247,0.5300944138473643,0.1951219512195122,0.6451612903225806,0.75
