config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.8323542523865748,60.60606060606061,0.7040981255953584,65.92039800995025,Adam,StepLR,0.6666666666666666,0.6708308376828955,0.6666666666666666,0.6661066308243727,0.6129032258064516,0.6666666666666666,0.71875
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,0.8577642212010393,63.63636363636363,0.6215863168536134,73.6318407960199,Adam,StepLR,0.5858585858585859,0.5982683982683983,0.5858585858585857,0.5614019080061236,0.32653061224489793,0.6363636363636364,0.7213114754098361
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,0.863776901153603,57.57575757575758,0.7023391664324709,67.16417910447761,Adam,StepLR,0.6565656565656566,0.6707479593536565,0.6565656565656566,0.6515417439747456,0.5614035087719298,0.6835443037974683,0.7096774193548387
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,1.0196625620427757,58.58585858585859,0.7087562499354728,69.65174129353234,Adam,StepLR,0.5959595959595959,0.6545045045045045,0.595959595959596,0.6066127583108715,0.5428571428571428,0.56,0.7169811320754716
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.8006808528996477,67.67676767676768,0.6975195633238228,67.41293532338308,Adam,ReduceLROnPlateau,0.6262626262626263,0.6380587484035759,0.6262626262626263,0.6226481465636082,0.5172413793103449,0.6410256410256411,0.7096774193548387
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.8233076394206346,64.64646464646465,0.6734337563538433,68.40796019900498,Adam,ReduceLROnPlateau,0.6262626262626263,0.6460092245153221,0.6262626262626263,0.6303581286632135,0.5945945945945946,0.5846153846153846,0.711864406779661
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.764374670356211,69.6969696969697,0.645689280175451,69.40298507462687,Adam,ReduceLROnPlateau,0.6868686868686869,0.7039766081871345,0.6868686868686869,0.689225809630396,0.647887323943662,0.6956521739130435,0.7241379310344828
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.8136710893325131,74.74747474747475,0.6220632560217558,74.37810945273633,Adam,ReduceLROnPlateau,0.696969696969697,0.7057120145355439,0.6969696969696969,0.6988430214268236,0.6567164179104478,0.6857142857142857,0.7540983606557377
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,0.8648139834403992,57.57575757575758,0.5400552064625185,75.62189054726367,SGD,StepLR,0.6464646464646465,0.6494136354601471,0.6464646464646465,0.6409479442485687,0.5084745762711864,0.6842105263157895,0.7301587301587301
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.2983943922351104,49.494949494949495,0.4002041815228723,83.58208955223881,SGD,StepLR,0.5757575757575758,0.6089964687525664,0.5757575757575757,0.580631224109485,0.4927536231884058,0.5945945945945946,0.6545454545454545
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,1.0168291486874976,50.505050505050505,0.48483452927413867,80.34825870646766,SGD,StepLR,0.6363636363636364,0.6465608465608464,0.6363636363636364,0.6354497354497354,0.5396825396825397,0.6666666666666666,0.7
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,2.233735152416759,48.484848484848484,0.45798519950600997,79.60199004975124,SGD,StepLR,0.5252525252525253,0.5236893748247827,0.5252525252525252,0.5207788433594885,0.41935483870967744,0.5483870967741935,0.5945945945945946
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,0.9335981788057269,57.57575757575758,0.523378235783743,77.11442786069652,SGD,ReduceLROnPlateau,0.6363636363636364,0.6421279491833031,0.6363636363636364,0.6371369657148849,0.5538461538461539,0.647887323943662,0.7096774193548387
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,0.8869890564619892,62.62626262626262,0.5118055568998726,78.35820895522389,SGD,ReduceLROnPlateau,0.6363636363636364,0.6423444976076554,0.6363636363636364,0.6366784912155495,0.5454545454545454,0.676056338028169,0.6885245901639344
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,0.920056574272387,63.63636363636363,0.42986422198921886,81.34328358208955,SGD,ReduceLROnPlateau,0.6565656565656566,0.6653439153439153,0.6565656565656566,0.6587378120647166,0.5882352941176471,0.6666666666666666,0.7213114754098361
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,0.8392756521099746,57.57575757575758,0.5425913499955514,78.1094527363184,SGD,ReduceLROnPlateau,0.6161616161616161,0.6188034188034187,0.6161616161616162,0.615079365079365,0.5396825396825397,0.6388888888888888,0.6666666666666666
config16_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.1,0.985498478617331,53.535353535353536,0.44381194891621223,82.33830845771145,Adam,StepLR,0.6666666666666666,0.6692307692307692,0.6666666666666666,0.6653439153439153,0.5714285714285714,0.6944444444444444,0.7301587301587301
config17_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.5,1.6432134635520703,51.515151515151516,0.3375119258515277,85.32338308457712,Adam,StepLR,0.5656565656565656,0.5662893793623844,0.5656565656565656,0.5644119345703853,0.5079365079365079,0.59375,0.5915492957746479
config18_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.1,1.1842629807163971,57.57575757575758,0.42882246876237406,82.83582089552239,Adam,StepLR,0.5252525252525253,0.5286596119929453,0.5252525252525252,0.5203486859224564,0.36666666666666664,0.5714285714285714,0.6229508196721312
config19_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.5,1.3311643576381182,52.525252525252526,0.39871440864914093,82.58706467661692,Adam,StepLR,0.5555555555555556,0.5908158508158509,0.5555555555555555,0.5527076034175425,0.5647058823529412,0.4727272727272727,0.6206896551724138
config20_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,1.1710173879006895,56.56565656565657,0.34870548272014257,86.81592039800995,Adam,ReduceLROnPlateau,0.6262626262626263,0.6365975422427036,0.6262626262626262,0.6280854667265513,0.5753424657534246,0.5901639344262295,0.71875
config21_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.2012689158771976,54.54545454545455,0.3594880655630311,86.06965174129353,Adam,ReduceLROnPlateau,0.6363636363636364,0.6418300653594771,0.6363636363636364,0.638323322695579,0.5671641791044776,0.6176470588235294,0.7301587301587301
config22_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,1.046892558685457,65.65656565656566,0.39847262196279876,83.33333333333333,Adam,ReduceLROnPlateau,0.5858585858585859,0.5895003162555345,0.5858585858585857,0.5873756218905473,0.47761194029850745,0.5970149253731343,0.6875
