config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.8371937341160245,56.56565656565657,0.6533579292582042,70.14925373134328,Adam,StepLR,0.6868686868686869,0.6785714285714285,0.6868686868686869,0.6808309924112197,0.5245901639344263,0.7352941176470589,0.782608695652174
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,0.8632040312795928,53.535353535353536,0.6893147135255349,69.40298507462687,Adam,StepLR,0.5656565656565656,0.5816926129426129,0.5656565656565656,0.5711830367568073,0.4444444444444444,0.6461538461538462,0.6229508196721312
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,0.8421845098938605,60.60606060606061,0.6208982792363238,71.8905472636816,Adam,StepLR,0.6464646464646465,0.6365079365079365,0.6464646464646465,0.6397914832362025,0.45901639344262296,0.6956521739130435,0.7647058823529411
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,0.9571170566057918,56.56565656565657,0.632672695378166,72.13930348258707,Adam,StepLR,0.6464646464646465,0.6818970443093866,0.6464646464646464,0.6523199023199023,0.5641025641025641,0.6428571428571429,0.75
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.8578643539939264,58.58585858585859,0.6204679747719076,72.13930348258707,Adam,ReduceLROnPlateau,0.6363636363636364,0.6276951393584254,0.6363636363636364,0.6308894982776626,0.45161290322580644,0.7246376811594203,0.7164179104477612
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.8654660564480405,62.62626262626262,0.6332524570066538,71.8905472636816,Adam,ReduceLROnPlateau,0.6464646464646465,0.6454599761051374,0.6464646464646465,0.6452317911557043,0.49230769230769234,0.71875,0.7246376811594203
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.8452116250991821,64.64646464646465,0.6023695857370671,73.6318407960199,Adam,ReduceLROnPlateau,0.6161616161616161,0.6161616161616162,0.6161616161616162,0.6161616161616162,0.45454545454545453,0.696969696969697,0.696969696969697
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.8525799199788258,58.58585858585859,0.6494427696982427,71.14427860696517,Adam,ReduceLROnPlateau,0.6464646464646465,0.6443850267379679,0.6464646464646465,0.6453327766760603,0.49230769230769234,0.7164179104477612,0.7272727272727273
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,0.8879698274111507,56.56565656565657,0.5319984670895249,78.1094527363184,SGD,StepLR,0.6767676767676768,0.674702380952381,0.6767676767676768,0.6754147812971342,0.5230769230769231,0.7647058823529411,0.7384615384615385
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.14852946755862,60.60606060606061,0.39589795559199886,81.34328358208955,SGD,StepLR,0.6565656565656566,0.6710239651416122,0.6565656565656566,0.6604933081073505,0.5352112676056338,0.7,0.746268656716418
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,0.9783178688299776,57.57575757575758,0.4480308842896229,81.34328358208955,SGD,StepLR,0.6262626262626263,0.6320160126611739,0.6262626262626263,0.6287693107546048,0.47058823529411764,0.696969696969697,0.71875
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,1.210294317717504,53.535353535353536,0.40614519486972944,84.07960199004975,SGD,StepLR,0.5252525252525253,0.4659090909090909,0.5252525252525252,0.47129591193518133,0.13636363636363635,0.5925925925925926,0.684931506849315
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,0.9352281557189094,58.58585858585859,0.4221575589322332,85.32338308457712,SGD,ReduceLROnPlateau,0.6464646464646465,0.6405723905723906,0.6464646464646465,0.6427002948742079,0.47619047619047616,0.7246376811594203,0.7272727272727273
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,0.9474437923142405,55.55555555555556,0.4866868859499841,76.86567164179104,SGD,ReduceLROnPlateau,0.6767676767676768,0.6836544205495819,0.6767676767676768,0.6795684689706429,0.5507246376811594,0.71875,0.7692307692307693
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,0.922740228248365,60.60606060606061,0.5349520011920834,76.11940298507463,SGD,ReduceLROnPlateau,0.6464646464646465,0.6443850267379679,0.6464646464646465,0.6453327766760603,0.49230769230769234,0.7164179104477612,0.7272727272727273
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,0.9136756309355148,62.62626262626262,0.4931663956808214,80.34825870646766,SGD,ReduceLROnPlateau,0.6262626262626263,0.6313643345901411,0.6262626262626262,0.6284536541889484,0.47058823529411764,0.6875,0.7272727272727273
