config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,2.422972072254528,48.484848484848484,0.03358153085136295,98.50746268656717,Adam,StepLR,0.45454545454545453,0.44524959742351045,0.4545454545454546,0.4443806309500175,0.32142857142857145,0.463768115942029,0.547945205479452
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,2.89585691268998,47.474747474747474,0.030323508888279175,98.50746268656717,Adam,StepLR,0.48484848484848486,0.48379629629629634,0.48484848484848486,0.47292614251678583,0.3508771929824561,0.5,0.5679012345679012
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,2.2450261983004483,50.505050505050505,0.031838082231173466,98.50746268656717,Adam,StepLR,0.494949494949495,0.4846846846846848,0.494949494949495,0.48637110016420365,0.3448275862068966,0.4857142857142857,0.6285714285714286
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,2.830844669028966,44.44444444444444,0.031740827284364115,98.75621890547264,Adam,StepLR,0.5252525252525253,0.5228520671834626,0.5252525252525252,0.5164192532613585,0.45614035087719296,0.46153846153846156,0.631578947368421
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,2.6564354414891715,48.484848484848484,0.030245237784525054,98.50746268656717,Adam,ReduceLROnPlateau,0.5555555555555556,0.549062049062049,0.5555555555555556,0.5456034024455078,0.42105263157894735,0.5757575757575758,0.64
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,2.549693230426673,42.42424242424242,0.030446098523158858,98.50746268656717,Adam,ReduceLROnPlateau,0.45454545454545453,0.4517995818399044,0.4545454545454546,0.45264539204756593,0.3384615384615385,0.46875,0.5507246376811594
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,2.11906703674432,50.505050505050505,0.034391491646086104,98.50746268656717,Adam,ReduceLROnPlateau,0.46464646464646464,0.4547953216374269,0.4646464646464647,0.4565815683707442,0.3103448275862069,0.4507042253521127,0.6086956521739131
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,2.578082790278425,46.464646464646464,0.03127434938006214,98.50746268656717,Adam,ReduceLROnPlateau,0.46464646464646464,0.4548500881834216,0.4646464646464647,0.45534391534391533,0.36666666666666664,0.4126984126984127,0.5866666666666667
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,1.5345829689141475,46.464646464646464,0.029167116615013103,98.50746268656717,SGD,StepLR,0.5151515151515151,0.5113960113960113,0.5151515151515151,0.5079032121366217,0.42105263157894735,0.463768115942029,0.6388888888888888
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.3965347078111436,49.494949494949495,0.029362016496484847,98.50746268656717,SGD,StepLR,0.5252525252525253,0.5304232804232804,0.5252525252525252,0.5260878882320331,0.4411764705882353,0.5573770491803278,0.5797101449275363
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,1.4541585541734792,48.484848484848484,0.029019542890994704,98.50746268656717,SGD,StepLR,0.5353535353535354,0.5310368643701978,0.5353535353535354,0.5301346801346801,0.4666666666666667,0.48484848484848486,0.6388888888888888
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,1.4396706398087318,50.505050505050505,0.027959465980529785,98.50746268656717,SGD,StepLR,0.5353535353535354,0.5402298850574713,0.5353535353535354,0.5309172329401962,0.4406779661016949,0.5714285714285714,0.5806451612903226
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,1.2413130926363396,51.515151515151516,0.029807933916648228,98.50746268656717,SGD,ReduceLROnPlateau,0.5050505050505051,0.5053221288515406,0.5050505050505051,0.5046476301963572,0.47058823529411764,0.47619047619047616,0.5671641791044776
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,1.2672322338277644,53.535353535353536,0.028996508546516447,98.50746268656717,SGD,ReduceLROnPlateau,0.494949494949495,0.4844173441734418,0.494949494949495,0.484311491381405,0.3508771929824561,0.5074626865671642,0.5945945945945946
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,1.35483487206276,47.474747474747474,0.031493464633081086,98.50746268656717,SGD,ReduceLROnPlateau,0.494949494949495,0.4801691323430454,0.494949494949495,0.482010582010582,0.32142857142857145,0.4857142857142857,0.6388888888888888
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,1.412025470926304,43.43434343434343,0.031365710574744354,98.50746268656717,SGD,ReduceLROnPlateau,0.5151515151515151,0.5026455026455027,0.5151515151515151,0.499903381642512,0.3333333333333333,0.5866666666666667,0.5797101449275363
config16_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.1,1.9934691395422426,36.36363636363637,0.030346975444042266,98.50746268656717,Adam,StepLR,0.46464646464646464,0.461981981981982,0.4646464646464646,0.4597701149425287,0.3793103448275862,0.4857142857142857,0.5142857142857142
config17_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.5,1.9298808719172622,43.43434343434343,0.028130309902993377,98.50746268656717,Adam,StepLR,0.46464646464646464,0.4587624976419544,0.4646464646464647,0.4602452679037186,0.28125,0.5079365079365079,0.5915492957746479
config18_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.1,1.3744588981975208,48.484848484848484,0.027740534464481163,98.50746268656717,Adam,StepLR,0.5252525252525253,0.5254563492063492,0.5252525252525252,0.5192101385204834,0.46153846153846156,0.4827586206896552,0.6133333333333333
