config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.707984925821574,68.68686868686869,0.7354266071200963,63.930348258706466,Adam,StepLR,0.6363636363636364,0.6190439867785406,0.6363636363636364,0.6018700104989997,0.3333333333333333,0.6835443037974683,0.7887323943661971
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,0.7765884902140107,64.64646464646465,0.7151992662036004,66.66666666666667,Adam,StepLR,0.6363636363636364,0.6402356902356902,0.6363636363636364,0.6373256373256373,0.5151515151515151,0.6666666666666666,0.7301587301587301
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,0.7623195163529328,67.67676767676768,0.700956397981786,65.67164179104478,Adam,StepLR,0.6767676767676768,0.6762912482065997,0.6767676767676768,0.6693205381343638,0.5263157894736842,0.6756756756756757,0.8059701492537313
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,0.9099123264201964,64.64646464646465,0.8023140976084998,61.19402985074627,Adam,StepLR,0.5858585858585859,0.5615503875968991,0.5858585858585859,0.5122839536282783,0.15384615384615385,0.6842105263157895,0.6987951807228916
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.7291318971400309,75.75757575757575,0.6907000924224285,67.66169154228855,Adam,ReduceLROnPlateau,0.6262626262626263,0.6092592592592593,0.6262626262626263,0.6007388462631429,0.35294117647058826,0.6666666666666666,0.782608695652174
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.7329818115691946,70.70707070707071,0.6856655772052594,68.65671641791045,Adam,ReduceLROnPlateau,0.6565656565656566,0.6582700065672201,0.6565656565656566,0.6346856898969575,0.44,0.6753246753246753,0.7887323943661971
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.7141867659308694,72.72727272727273,0.6498662260041308,68.1592039800995,Adam,ReduceLROnPlateau,0.6363636363636364,0.6284313725490196,0.6363636363636364,0.6178902295489173,0.41509433962264153,0.6923076923076923,0.746268656716418
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.7323650034389111,70.70707070707071,0.6718567755091843,67.66169154228855,Adam,ReduceLROnPlateau,0.6363636363636364,0.6166619757951027,0.6363636363636364,0.6065556978233034,0.36,0.7272727272727273,0.7323943661971831
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,0.811801127713136,67.67676767676768,0.5404535413381473,75.3731343283582,SGD,StepLR,0.6363636363636364,0.6268223010244287,0.6363636363636364,0.6069900423937691,0.3673469387755102,0.7,0.7536231884057971
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,0.9266822404331632,60.60606060606061,0.543430188105474,74.37810945273633,SGD,StepLR,0.5858585858585859,0.5669515669515669,0.5858585858585859,0.571467921010255,0.3508771929824561,0.6388888888888888,0.7246376811594203
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,0.8094182556325739,64.64646464646465,0.48745804506154794,79.1044776119403,SGD,StepLR,0.6161616161616161,0.6047430830039525,0.6161616161616162,0.5960585072120778,0.37735849056603776,0.6835443037974683,0.7272727272727273
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,1.0740768942568037,57.57575757575758,0.49620641464024634,78.60696517412936,SGD,StepLR,0.5353535353535354,0.5373869166972616,0.5353535353535354,0.5352418191127869,0.45714285714285713,0.45161290322580644,0.696969696969697
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,0.8368204222484068,68.68686868686869,0.4952519782147004,78.60696517412936,SGD,ReduceLROnPlateau,0.6464646464646465,0.6403078403078403,0.6464646464646465,0.6298886298886298,0.4444444444444444,0.717948717948718,0.7272727272727273
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,0.7505758085636177,68.68686868686869,0.5679399018263935,74.12935323383084,SGD,ReduceLROnPlateau,0.6161616161616161,0.5939869281045752,0.6161616161616161,0.5789101680353254,0.2916666666666667,0.6987951807228916,0.746268656716418
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,0.7927134170977757,68.68686868686869,0.5257425483186446,75.12437810945273,SGD,ReduceLROnPlateau,0.6464646464646465,0.6425226098191215,0.6464646464646464,0.6365272154745839,0.45614035087719296,0.6842105263157895,0.7692307692307693
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,0.7870077284598591,62.62626262626262,0.537156720066545,76.3681592039801,SGD,ReduceLROnPlateau,0.6565656565656566,0.6521645021645022,0.6565656565656566,0.6396115907769625,0.4528301886792453,0.7012987012987013,0.7647058823529411
config16_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.1,0.7440878265734875,70.70707070707071,0.6191846209378978,72.38805970149254,Adam,StepLR,0.6565656565656566,0.6469870327993897,0.6565656565656566,0.6232468651571877,0.375,0.7341772151898734,0.7605633802816901
config17_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.5,1.0567194575613195,55.55555555555556,0.40627063210330794,81.59203980099502,Adam,StepLR,0.6767676767676768,0.6933436933436933,0.6767676767676768,0.6808080808080809,0.5757575757575758,0.6666666666666666,0.8
config18_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.1,0.9590083893501398,59.5959595959596,0.4769408278797396,81.09452736318408,Adam,StepLR,0.5959595959595959,0.5899949723479135,0.5959595959595959,0.5894023292201891,0.4406779661016949,0.6111111111111112,0.7164179104477612
config19_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.5,1.3012285437246767,47.474747474747474,0.5069584146660951,75.87064676616916,Adam,StepLR,0.5454545454545454,0.6057923169267707,0.5454545454545455,0.5411617868843933,0.417910447761194,0.6341463414634146,0.5714285714285714
config20_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.8552315226106932,68.68686868686869,0.46133431125043045,81.59203980099502,Adam,ReduceLROnPlateau,0.5555555555555556,0.542477650063857,0.5555555555555555,0.5407242615251514,0.3103448275862069,0.6666666666666666,0.6451612903225806
config21_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.8675680798713608,66.66666666666667,0.4705344109392878,80.09950248756219,Adam,ReduceLROnPlateau,0.5858585858585859,0.5571895424836601,0.5858585858585859,0.5526417296234875,0.28,0.691358024691358,0.6865671641791045
config22_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.7865005860274489,71.71717171717172,0.5377386550405132,75.62189054726367,Adam,ReduceLROnPlateau,0.6363636363636364,0.6209412419938736,0.6363636363636364,0.6126194067370538,0.38461538461538464,0.717948717948718,0.7352941176470589
