config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.8043300498916646,64.64646464646465,0.8043747179543794,59.701492537313435,Adam,StepLR,0.6363636363636364,0.616172099825447,0.6363636363636364,0.5855036855036855,0.2727272727272727,0.7,0.7837837837837838
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,1.0973575204008756,57.57575757575758,0.7348809117701516,66.91542288557214,Adam,StepLR,0.5454545454545454,0.5384572072072072,0.5454545454545455,0.5409035409035409,0.38095238095238093,0.5846153846153846,0.6571428571428571
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,0.945616794957055,54.54545454545455,0.7770521836494332,63.681592039801,Adam,StepLR,0.5656565656565656,0.5472789115646258,0.5656565656565656,0.539456095369579,0.33962264150943394,0.5714285714285714,0.7073170731707317
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,1.0743279070264162,55.55555555555556,0.8792792938241911,63.18407960199005,Adam,StepLR,0.5858585858585859,0.5701058201058201,0.5858585858585859,0.5679012345679012,0.37037037037037035,0.6666666666666666,0.6666666666666666
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.9741746721544651,61.61616161616162,0.569730491187442,75.3731343283582,Adam,ReduceLROnPlateau,0.6161616161616161,0.597301248617038,0.6161616161616161,0.6014919928930307,0.38596491228070173,0.704225352112676,0.7142857142857143
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.9675619775297666,60.60606060606061,0.5483802562922387,75.62189054726367,Adam,ReduceLROnPlateau,0.5959595959595959,0.5843776106934001,0.5959595959595959,0.5881115472433874,0.39344262295081966,0.6666666666666666,0.704225352112676
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.9499137890760345,60.60606060606061,0.664778820910857,71.14427860696517,Adam,ReduceLROnPlateau,0.6161616161616161,0.5943787468177711,0.6161616161616161,0.5969922491661622,0.36363636363636365,0.7027027027027027,0.7246376811594203
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.7902609639697604,66.66666666666667,0.755002701756966,64.67661691542288,Adam,ReduceLROnPlateau,0.5353535353535354,0.553670634920635,0.5353535353535354,0.5389095195991748,0.4533333333333333,0.5172413793103449,0.6461538461538462
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,0.8913429912292596,54.54545454545455,0.8227474642037159,59.20398009950249,SGD,StepLR,0.5757575757575758,0.5578643578643578,0.5757575757575758,0.5582055852644089,0.36363636363636365,0.6176470588235294,0.6933333333333334
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,0.9117624097400241,51.515151515151516,0.7811690382103422,68.40796019900498,SGD,StepLR,0.5757575757575758,0.5668981481481481,0.5757575757575758,0.5678960309097295,0.4,0.6461538461538462,0.6575342465753424
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,0.90622434787678,52.525252525252526,0.7789551802535555,63.43283582089552,SGD,StepLR,0.5757575757575758,0.5510567863509039,0.5757575757575758,0.5525403286597316,0.3333333333333333,0.5970149253731343,0.7272727272727273
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,0.9297332414472946,62.62626262626262,0.7771969037269478,64.67661691542288,SGD,StepLR,0.5555555555555556,0.5638888888888889,0.5555555555555556,0.5526999071678659,0.4117647058823529,0.5614035087719298,0.684931506849315
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,0.7911929113395286,62.62626262626262,0.7939720325802097,60.9452736318408,SGD,ReduceLROnPlateau,0.6363636363636364,0.6284584980237155,0.6363636363636364,0.6227772227772228,0.42857142857142855,0.7012987012987013,0.7384615384615385
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,0.8457088297364688,60.60606060606061,0.7194142655946723,65.42288557213931,SGD,ReduceLROnPlateau,0.5959595959595959,0.5689967813590825,0.5959595959595959,0.567387122874848,0.3137254901960784,0.6842105263157895,0.704225352112676
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,0.829573309481746,60.60606060606061,0.800545098769724,60.19900497512438,SGD,ReduceLROnPlateau,0.5757575757575758,0.5563096500530222,0.5757575757575758,0.5591642062230298,0.35714285714285715,0.6176470588235294,0.7027027027027027
