config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.7184010888590957,70.70707070707071,0.6678060064861431,70.39800995024876,Adam,StepLR,0.6363636363636364,0.6568007662835249,0.6363636363636364,0.6433913870944361,0.5205479452054794,0.6031746031746031,0.8064516129032258
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,0.8017587457040344,62.62626262626262,0.5879187990183854,75.12437810945273,Adam,StepLR,0.6464646464646465,0.6545454545454547,0.6464646464646465,0.6496225191877366,0.5217391304347826,0.696969696969697,0.7301587301587301
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,0.7555694519871413,65.65656565656566,0.6721772376577653,70.8955223880597,Adam,StepLR,0.6262626262626263,0.6487244182786656,0.6262626262626263,0.6335367625690206,0.5135135135135135,0.6774193548387096,0.7096774193548387
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,0.7400545459805112,61.61616161616162,0.758460270824717,66.16915422885572,Adam,StepLR,0.6262626262626263,0.6564434669273379,0.6262626262626262,0.632407249183565,0.5194805194805194,0.5964912280701754,0.78125
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.787746437872299,56.56565656565657,0.6999959044195526,69.40298507462687,Adam,ReduceLROnPlateau,0.6363636363636364,0.7227095516569201,0.6363636363636364,0.6403164774681802,0.6,0.5490196078431373,0.7719298245614035
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.8479860093858507,59.5959595959596,0.3580211030310066,85.32338308457712,Adam,ReduceLROnPlateau,0.6666666666666666,0.673220686123912,0.6666666666666666,0.6695261437908497,0.5294117647058824,0.6666666666666666,0.8125
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.8281167866003634,65.65656565656566,0.4437213575662072,80.8457711442786,Adam,ReduceLROnPlateau,0.6060606060606061,0.6016278375149343,0.6060606060606061,0.6031308063916759,0.4307692307692308,0.625,0.7536231884057971
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.7090050752716835,70.70707070707071,0.6023746896442489,74.37810945273633,Adam,ReduceLROnPlateau,0.6666666666666666,0.6918264418264419,0.6666666666666666,0.6743610438525692,0.5428571428571428,0.6666666666666666,0.8135593220338984
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,0.8006593205712058,62.62626262626262,0.5621018676615473,73.88059701492537,SGD,StepLR,0.6565656565656566,0.6492997198879552,0.6565656565656566,0.6522917624761346,0.47619047619047616,0.6865671641791045,0.7941176470588235
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,0.9017663935218194,59.5959595959596,0.5625239053175817,74.12935323383084,SGD,StepLR,0.6464646464646465,0.6333381000047666,0.6464646464646464,0.6374416433239962,0.43333333333333335,0.7142857142857143,0.7647058823529411
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,0.8351009632601882,61.61616161616162,0.5029690849840345,79.35323383084577,SGD,StepLR,0.6363636363636364,0.6410714285714286,0.6363636363636364,0.6384615384615385,0.5,0.6153846153846154,0.8
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,0.9065432325758115,62.62626262626262,0.470564942306547,79.85074626865672,SGD,StepLR,0.6161616161616161,0.6203612479474548,0.6161616161616161,0.6170145477545858,0.5,0.6451612903225806,0.7058823529411765
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,0.791924936602814,61.61616161616162,0.5295276122899791,78.1094527363184,SGD,ReduceLROnPlateau,0.6868686868686869,0.6835497835497836,0.6868686868686869,0.6744028520499108,0.509090909090909,0.72,0.7941176470588235
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,0.8906014140206154,62.62626262626262,0.4731110494528244,82.33830845771145,SGD,ReduceLROnPlateau,0.6767676767676768,0.6666666666666666,0.6767676767676768,0.6653529960166115,0.49122807017543857,0.7222222222222222,0.782608695652174
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,0.7296552308882126,66.66666666666667,0.5508222609610107,77.363184079602,SGD,ReduceLROnPlateau,0.6666666666666666,0.6703192220433599,0.6666666666666666,0.6666480472932086,0.5151515151515151,0.7428571428571429,0.7419354838709677
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,0.7878064964756821,60.60606060606061,0.5491475987790236,76.11940298507463,SGD,ReduceLROnPlateau,0.696969696969697,0.7000000000000001,0.6969696969696969,0.6957671957671957,0.5396825396825397,0.7222222222222222,0.8253968253968254
config16_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.1,0.6594329355943083,69.6969696969697,0.6917188324738498,70.14925373134328,Adam,StepLR,0.6464646464646465,0.6391330478551575,0.6464646464646465,0.6417049860561614,0.45161290322580644,0.6376811594202898,0.835820895522388
config17_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.5,0.7058149431691025,72.72727272727273,0.6178862310167569,73.6318407960199,Adam,StepLR,0.6767676767676768,0.6783524904214561,0.6767676767676768,0.674036197677382,0.5161290322580645,0.7123287671232876,0.7936507936507936
config18_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.1,0.8206781431882069,62.62626262626262,0.6597464043109571,67.91044776119404,Adam,StepLR,0.6464646464646465,0.6243386243386243,0.6464646464646465,0.6250993022007515,0.37037037037037035,0.6933333333333334,0.8115942028985508
config19_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.5,0.7071921963884373,67.67676767676768,0.5873281961649804,75.12437810945273,Adam,StepLR,0.6262626262626263,0.6261904761904762,0.6262626262626262,0.6259426847662143,0.4307692307692308,0.6470588235294118,0.8
config20_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.7456991058407407,65.65656565656566,0.6459256535145774,72.13930348258707,Adam,ReduceLROnPlateau,0.6666666666666666,0.6536796536796537,0.6666666666666666,0.6530781499202551,0.42105263157894735,0.72,0.8181818181818182
config21_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.8303991255134043,59.5959595959596,0.7110272094384947,66.66666666666667,Adam,ReduceLROnPlateau,0.6464646464646465,0.6376053472827666,0.6464646464646465,0.6407738095238096,0.46875,0.625,0.8285714285714286
config22_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.77983317230687,61.61616161616162,0.5297958581008722,79.85074626865672,Adam,ReduceLROnPlateau,0.6060606060606061,0.589492207139266,0.6060606060606061,0.5946140296633593,0.3389830508474576,0.6388888888888888,0.8059701492537313
