config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,1.0137416967237838,44.44444444444444,0.9140701688344206,50.74626865671642,Adam,StepLR,0.4444444444444444,0.4656820525907259,0.4444444444444445,0.4431643625192012,0.25806451612903225,0.5,0.5714285714285714
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,1.2712292180518912,53.535353535353536,0.5725441951656816,74.6268656716418,Adam,StepLR,0.5353535353535354,0.5383064516129031,0.5353535353535354,0.5362527870680044,0.4307692307692308,0.5217391304347826,0.65625
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,1.1674160800798974,57.57575757575758,0.4578789985595058,80.8457711442786,Adam,StepLR,0.5555555555555556,0.572020202020202,0.5555555555555555,0.5550911412980378,0.4126984126984127,0.5974025974025974,0.6551724137931034
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,1.4656870112274631,51.515151515151516,0.500152929801846,78.1094527363184,Adam,StepLR,0.494949494949495,0.5085825027685492,0.494949494949495,0.4966925510497555,0.47368421052631576,0.4918032786885246,0.5245901639344263
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,1.7875715638651992,47.474747474747474,0.19945377808305162,92.28855721393035,Adam,ReduceLROnPlateau,0.45454545454545453,0.47010582010582014,0.4545454545454546,0.46056303253066494,0.35294117647058826,0.4057971014492754,0.6229508196721312
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.497660644126661,53.535353535353536,0.1189287997300352,95.5223880597015,Adam,ReduceLROnPlateau,0.5151515151515151,0.5210412885662432,0.5151515151515151,0.5164086254499703,0.46153846153846156,0.5070422535211268,0.5806451612903226
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,1.3492799190559772,47.474747474747474,0.4574703612730871,81.8407960199005,Adam,ReduceLROnPlateau,0.5555555555555556,0.5665024630541872,0.5555555555555555,0.5561360832011282,0.3870967741935484,0.56,0.7213114754098361
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,1.5248406896687516,49.494949494949495,0.18722895988777502,92.03980099502488,Adam,ReduceLROnPlateau,0.5353535353535354,0.5421747967479674,0.5353535353535354,0.5346958431704195,0.4864864864864865,0.4406779661016949,0.676923076923077
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,1.312252811711244,53.535353535353536,0.4113320101849475,84.07960199004975,SGD,StepLR,0.48484848484848486,0.49435974435974434,0.48484848484848486,0.48639973798411534,0.4,0.5507246376811594,0.5084745762711864
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.4116562255705245,58.58585858585859,0.22433114185262082,91.7910447761194,SGD,StepLR,0.46464646464646464,0.47057057057057056,0.4646464646464647,0.46674806674806674,0.4,0.49230769230769234,0.5079365079365079
