config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.7227750215867553,64.64646464646465,0.7000580130524896,69.65174129353234,Adam,StepLR,0.6161616161616161,0.5833360762757426,0.6161616161616162,0.5872988372988374,0.3076923076923077,0.6486486486486487,0.8055555555555556
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,0.779347649728409,62.62626262626262,0.6722930743919676,68.65671641791045,Adam,StepLR,0.6363636363636364,0.6165945165945166,0.6363636363636364,0.6179441473559121,0.36363636363636365,0.6666666666666666,0.8235294117647058
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,0.7711720791730013,57.57575757575758,0.704513660414302,67.41293532338308,Adam,StepLR,0.6161616161616161,0.5884711779448621,0.6161616161616162,0.5931999914249576,0.3333333333333333,0.6575342465753424,0.7887323943661971
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,0.7698260581854618,64.64646464646465,0.6762652153992534,69.90049751243781,Adam,StepLR,0.5959595959595959,0.5790823211875844,0.595959595959596,0.5846872527956037,0.3389830508474576,0.5915492957746479,0.8235294117647058
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.8287675151921282,59.5959595959596,0.6654949520357806,72.13930348258707,Adam,ReduceLROnPlateau,0.6262626262626263,0.6098021098021099,0.6262626262626263,0.6148202734790796,0.4067796610169492,0.6376811594202898,0.8
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.0903695111322884,59.5959595959596,0.6377118750294642,73.6318407960199,Adam,ReduceLROnPlateau,0.5656565656565656,0.543073593073593,0.5656565656565656,0.5419062993979753,0.33962264150943394,0.5588235294117647,0.7272727272727273
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.9565099056320961,56.56565656565657,0.6460064652547315,72.13930348258707,Adam,ReduceLROnPlateau,0.5959595959595959,0.5777209434498437,0.595959595959596,0.5788462449656478,0.39285714285714285,0.5970149253731343,0.7466666666666667
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.748803669756109,63.63636363636363,0.7295084106388376,68.90547263681592,Adam,ReduceLROnPlateau,0.6363636363636364,0.6070714511206988,0.6363636363636364,0.6037426900584796,0.32,0.6578947368421053,0.8333333333333334
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,0.8129921525415748,59.5959595959596,0.5530954578622657,77.363184079602,SGD,StepLR,0.6565656565656566,0.6504845181315769,0.6565656565656566,0.6516387616950378,0.4918032786885246,0.6571428571428571,0.8059701492537313
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,0.9848412480017151,55.55555555555556,0.38698643119774057,84.32835820895522,SGD,StepLR,0.6262626262626263,0.6187692394588947,0.6262626262626262,0.6210305823209049,0.4838709677419355,0.6363636363636364,0.7428571428571429
