config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,2.0096545219421387,41.666666666666664,0.04840296212406386,97.85714285714286,Adam,StepLR,0.4083333333333333,0.40598290598290604,0.43386543806711875,0.4166666666666667,0.25,0.5526315789473685,0.4473684210526316
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,2.5518269697825113,40.0,0.0793758669069835,97.61904761904762,Adam,StepLR,0.4083333333333333,0.4077227382180942,0.4264516617457794,0.4083847585463807,0.3373493975903614,0.4878048780487805,0.4
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,2.067119296391805,51.666666666666664,0.0481594599428631,98.0952380952381,Adam,StepLR,0.475,0.47240925135661976,0.49649589565555957,0.4781238347561574,0.37209302325581395,0.5822784810126582,0.48
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,1.780093495051066,48.333333333333336,0.12529752140953426,95.71428571428571,Adam,StepLR,0.375,0.3731095375469884,0.39844586483241945,0.37771241830065366,0.25,0.5066666666666667,0.3764705882352941
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,1.5754293282826741,53.333333333333336,0.045569884777069095,98.0952380952381,Adam,ReduceLROnPlateau,0.48333333333333334,0.48583959899749374,0.5002974162638029,0.4914159914159914,0.3956043956043956,0.6111111111111112,0.4675324675324675
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.519054373105367,50.0,0.04963283309979098,98.0952380952381,Adam,ReduceLROnPlateau,0.45,0.452678994784258,0.46346646766814836,0.45723915404766474,0.3829787234042553,0.5833333333333334,0.40540540540540543
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,2.1402376969655355,45.0,0.03990435717361314,98.33333333333333,Adam,ReduceLROnPlateau,0.44166666666666665,0.445027462272703,0.4498664330597104,0.44675925925925924,0.3958333333333333,0.5,0.4444444444444444
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,1.8968918482462565,48.333333333333336,0.054194546384470806,97.85714285714286,Adam,ReduceLROnPlateau,0.48333333333333334,0.49190476190476184,0.4881141645847529,0.4837188519057262,0.46153846153846156,0.4838709677419355,0.5057471264367817
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,1.6565540711085,50.0,0.03922927241240229,98.0952380952381,SGD,StepLR,0.425,0.44185463659147867,0.43528762856493947,0.42645793160549506,0.38095238095238093,0.45161290322580644,0.44680851063829785
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.5786318222681681,58.333333333333336,0.03371584933428537,98.33333333333333,SGD,StepLR,0.475,0.48080381577918524,0.48131144349631744,0.4757929409092199,0.43956043956043955,0.47619047619047616,0.5116279069767442
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,1.7821618398030599,40.0,0.03729727379977703,98.33333333333333,SGD,StepLR,0.5083333333333333,0.5133838383838384,0.5199106669694905,0.5136819716095621,0.47191011235955055,0.6,0.4691358024691358
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,1.7534454584121704,51.666666666666664,0.04723152672605855,98.0952380952381,SGD,StepLR,0.4583333333333333,0.45917154740684146,0.46947427619696525,0.4603690519183477,0.4175824175824176,0.5128205128205128,0.4507042253521127
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,1.3281156738599142,46.666666666666664,0.03509297992679335,98.57142857142857,SGD,ReduceLROnPlateau,0.49166666666666664,0.48725490196078436,0.5181315769551064,0.4953869532182786,0.3373493975903614,0.5945945945945946,0.5542168674698795
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,1.579985785484314,50.0,0.038547020698232314,98.33333333333333,SGD,ReduceLROnPlateau,0.4,0.41464550629636016,0.4164692904188702,0.4062013942055849,0.3132530120481928,0.49230769230769234,0.41304347826086957
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,1.3126962264378865,51.666666666666664,0.03989976750952857,98.33333333333333,SGD,ReduceLROnPlateau,0.5333333333333333,0.5373958864524901,0.5617652466391962,0.5351373123881592,0.379746835443038,0.647887323943662,0.5777777777777777
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,1.7242067495981852,41.666666666666664,0.03841848018623534,98.33333333333333,SGD,ReduceLROnPlateau,0.5166666666666667,0.5253194226408512,0.5295361387798363,0.5217289170777543,0.45454545454545453,0.5757575757575758,0.5348837209302325
config16_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.1,1.8075133403142294,35.0,0.03354166358310197,98.33333333333333,Adam,StepLR,0.49166666666666664,0.492309382553285,0.5003028238322357,0.49390621390621386,0.46153846153846156,0.5066666666666667,0.5135135135135135
config17_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.5,2.0894569476445515,36.666666666666664,0.043166970709959666,97.14285714285714,Adam,StepLR,0.4583333333333333,0.45425756509500353,0.46365032499486286,0.4550825114734889,0.4489795918367347,0.5526315789473685,0.36363636363636365
config18_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.1,2.2626755555470783,25.0,0.03992560983945926,98.33333333333333,Adam,StepLR,0.425,0.4138888888888889,0.45868076960513937,0.42265548457890817,0.23684210526315788,0.6075949367088608,0.4235294117647059
config19_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.5,2.9638178825378416,30.0,0.06524546332435593,98.0952380952381,Adam,StepLR,0.4666666666666667,0.48301247771836014,0.4748656219244454,0.4657811511701455,0.45161290322580644,0.49411764705882355,0.45161290322580644
