config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.8186796831362175,61.61616161616162,0.5789619719804223,74.6268656716418,Adam,StepLR,0.6767676767676768,0.6798717223165441,0.6767676767676768,0.6763753819211565,0.53125,0.704225352112676,0.7936507936507936
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,0.94267036336841,60.60606060606061,0.5635714978721011,75.87064676616916,Adam,StepLR,0.5959595959595959,0.6320383225754069,0.595959595959596,0.6040345889599622,0.5066666666666667,0.6268656716417911,0.6785714285714286
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,0.8815704782803854,56.56565656565657,0.5916536471143884,75.62189054726367,Adam,StepLR,0.6060606060606061,0.6206027204502814,0.6060606060606061,0.6073505056555905,0.46153846153846156,0.6486486486486487,0.711864406779661
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,0.9454279096439632,64.64646464646465,0.6002148600360054,73.13432835820896,Adam,StepLR,0.6363636363636364,0.63668430335097,0.6363636363636364,0.6312169312169312,0.43333333333333335,0.6666666666666666,0.7936507936507936
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.8279842680150812,63.63636363636363,0.6085359181337688,71.8905472636816,Adam,ReduceLROnPlateau,0.6161616161616161,0.6415945165945166,0.6161616161616162,0.619351408825093,0.45454545454545453,0.6666666666666666,0.7368421052631579
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.8660497554022857,68.68686868686869,0.5253577072228959,75.3731343283582,Adam,ReduceLROnPlateau,0.6262626262626263,0.6333333333333334,0.6262626262626262,0.6290048357651519,0.5074626865671642,0.6176470588235294,0.7619047619047619
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.8866305275998935,64.64646464646465,0.6161478772685303,72.636815920398,Adam,ReduceLROnPlateau,0.6464646464646465,0.6523669878508588,0.6464646464646464,0.6490084670231729,0.5294117647058824,0.6363636363636364,0.78125
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.9014691596079354,68.68686868686869,0.5096823826654634,75.87064676616916,Adam,ReduceLROnPlateau,0.6767676767676768,0.6826603145795523,0.6767676767676768,0.6774216847819755,0.5538461538461539,0.704225352112676,0.7741935483870968
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,0.9531615219935022,62.62626262626262,0.37974114441753026,85.07462686567165,SGD,StepLR,0.46464646464646464,0.5218630751964085,0.4646464646464646,0.47695022514299623,0.40963855421686746,0.36666666666666664,0.6545454545454545
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.4148459723501494,56.56565656565657,0.17355893092665506,94.27860696517413,SGD,StepLR,0.494949494949495,0.5384129759129759,0.49494949494949486,0.49189170617742056,0.4155844155844156,0.6111111111111112,0.4489795918367347
