config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,1.4169875666348621,48.484848484848484,0.3050281257178653,86.81592039800995,Adam,StepLR,0.494949494949495,0.5196759259259259,0.494949494949495,0.5036529680365297,0.410958904109589,0.4,0.7
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,2.83125883506404,56.56565656565657,0.30898121488628105,87.81094527363184,Adam,StepLR,0.5757575757575758,0.5831392339544513,0.5757575757575757,0.5660644091023838,0.4444444444444444,0.6075949367088608,0.6461538461538462
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,1.6956096092859905,49.494949494949495,0.2810202021503923,89.55223880597015,Adam,StepLR,0.5555555555555556,0.5541446208112875,0.5555555555555555,0.5499470899470899,0.43333333333333335,0.6133333333333333,0.6031746031746031
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,1.3627187609672546,52.525252525252526,0.5977936155760466,73.6318407960199,Adam,StepLR,0.5353535353535354,0.5542903733693207,0.5353535353535354,0.5138193883956595,0.2857142857142857,0.5777777777777777,0.6779661016949152
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,1.369120780566726,58.58585858585859,0.26802396121902844,91.04477611940298,Adam,ReduceLROnPlateau,0.6161616161616161,0.6156436156436157,0.6161616161616161,0.6127946127946128,0.5,0.6111111111111112,0.7272727272727273
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.8174453841315374,50.505050505050505,0.05462653778345134,97.01492537313433,Adam,ReduceLROnPlateau,0.5353535353535354,0.5524691358024691,0.5353535353535354,0.5410628019323672,0.463768115942029,0.4927536231884058,0.6666666666666666
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,1.825141262526464,48.484848484848484,0.10928018754394493,96.26865671641791,Adam,ReduceLROnPlateau,0.5858585858585859,0.61001221001221,0.585858585858586,0.5920854932011119,0.5277777777777778,0.5588235294117647,0.6896551724137931
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,1.58895854042335,51.515151515151516,0.20158279727940537,92.7860696517413,Adam,ReduceLROnPlateau,0.494949494949495,0.48584976105137395,0.494949494949495,0.4897830732069863,0.3384615384615385,0.40625,0.7246376811594203
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,1.1860237549049686,43.43434343434343,0.38420178344593714,86.31840796019901,SGD,StepLR,0.5656565656565656,0.5727519093372752,0.5656565656565656,0.5636231843128394,0.5675675675675675,0.5172413793103449,0.6060606060606061
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.483148479406167,52.525252525252526,0.2465480237606153,91.7910447761194,SGD,StepLR,0.5252525252525253,0.5505971354498703,0.5252525252525252,0.5259733410049866,0.5063291139240507,0.509090909090909,0.5625
