dconfig,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,0.9810084008207225,51.515151515151516,0.756544165646852,65.17412935323384,Adam,StepLR
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,1.6874486822070498,43.43434343434343,0.38155395830448585,85.07462686567165,Adam,StepLR
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,1.4109268116228508,54.54545454545455,0.4562315626523981,82.33830845771145,Adam,StepLR
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,1.4314715187958997,52.525252525252526,0.3572625166444636,86.56716417910448,Adam,StepLR
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,1.4934588478069113,51.515151515151516,0.2237101215035168,91.54228855721394,Adam,ReduceLROnPlateau
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.8351754034408416,46.464646464646464,0.08703423510143413,96.01990049751244,Adam,ReduceLROnPlateau
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,2.072079057645316,44.44444444444444,0.10261549804341141,96.26865671641791,Adam,ReduceLROnPlateau
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,1.7745134734144115,46.464646464646464,0.13880546606002162,94.77611940298507,Adam,ReduceLROnPlateau
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,1.3013999004556676,46.464646464646464,0.33190929296597915,87.31343283582089,SGD,StepLR
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.5243303721601313,48.484848484848484,0.203709047676912,91.54228855721394,SGD,StepLR
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,1.4529574519456034,47.474747474747474,0.291291723055626,88.80597014925372,SGD,StepLR
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,1.737555413535147,48.484848484848484,0.3983127975938332,85.82089552238806,SGD,StepLR
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,1.215591766617515,44.44444444444444,0.40244783987453325,84.82587064676616,SGD,ReduceLROnPlateau
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,1.1977692722070097,45.45454545454545,0.4239127389827178,84.32835820895522,SGD,ReduceLROnPlateau
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,1.1950124791174224,45.45454545454545,0.5318232786596118,81.34328358208955,SGD,ReduceLROnPlateau
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,1.2485764183179298,44.44444444444444,0.3655586929167088,88.30845771144278,SGD,ReduceLROnPlateau
config16_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.1,1.0684967137346364,40.4040404040404,0.8087422666858085,59.950248756218905,Adam,StepLR
config17_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.5,1.0887748370266923,50.505050505050505,0.701150607410355,69.1542288557214,Adam,StepLR
config18_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.1,1.0149526054208928,46.464646464646464,0.7251229339571141,64.92537313432835,Adam,StepLR
config19_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.5,1.1669068685685746,44.44444444444444,0.7090073379118051,68.65671641791045,Adam,StepLR
config20_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,1.1676982689385462,40.4040404040404,0.7815471825314991,63.681592039801,Adam,ReduceLROnPlateau
config21_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.1420015156871142,43.43434343434343,0.8701541091672224,60.44776119402985,Adam,ReduceLROnPlateau
config22_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,1.0707174274656508,47.474747474747474,0.8641279081800091,58.208955223880594,Adam,ReduceLROnPlateau
config23_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,1.1068268111257842,41.41414141414141,0.7798522423155865,63.43283582089552,Adam,ReduceLROnPlateau
config24_epochs50_lr0.0001_optSGD_schedStepLR_step20_gamma0.1,1.0958657734321826,36.36363636363637,1.035733504674921,45.27363184079602,SGD,StepLR
config25_epochs50_lr0.0001_optSGD_schedStepLR_step20_gamma0.5,1.0600004208208336,43.43434343434343,1.075154186481267,38.55721393034826,SGD,StepLR
config26_epochs50_lr0.0001_optSGD_schedStepLR_step30_gamma0.1,1.0941515318071,38.38383838383838,1.049449004344086,41.54228855721393,SGD,StepLR
config27_epochs50_lr0.0001_optSGD_schedStepLR_step30_gamma0.5,1.0859655358574607,45.45454545454545,1.018694344148114,43.78109452736319,SGD,StepLR
config28_epochs50_lr0.0001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,1.1042223241594102,31.31313131313131,1.0616645552032622,41.54228855721393,SGD,ReduceLROnPlateau
config29_epochs50_lr0.0001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,1.1005287423278347,30.303030303030305,1.0186622925658724,46.26865671641791,SGD,ReduceLROnPlateau
config30_epochs50_lr0.0001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,1.0421340357173572,43.43434343434343,1.0176980928402042,44.776119402985074,SGD,ReduceLROnPlateau
config31_epochs50_lr0.0001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,1.04111226520153,42.42424242424242,1.0714868550276875,40.049751243781095,SGD,ReduceLROnPlateau
