config,val_loss,val_acc,train_loss,train_acc,optimizer,scheduler,accuracy,precision,recall,f1_macro,f1_Health,f1_Rust,f1_Other
config0_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.1,1.1571571411508503,56.56565656565657,0.4076153241579805,83.83084577114428,Adam,StepLR,0.5959595959595959,0.5979835067167877,0.595959595959596,0.5926238738738738,0.5,0.6216216216216216,0.65625
config1_epochs50_lr0.001_optAdam_schedStepLR_step20_gamma0.5,1.4171211949051028,52.525252525252526,0.2208182896251109,91.29353233830845,Adam,StepLR,0.5454545454545454,0.5500881834215168,0.5454545454545455,0.5433862433862434,0.36666666666666664,0.5333333333333333,0.7301587301587301
config2_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.1,1.0928934764380407,49.494949494949495,0.4860080550262584,80.09950248756219,Adam,StepLR,0.6060606060606061,0.6121711683446944,0.6060606060606061,0.606892174432497,0.5555555555555556,0.4838709677419355,0.78125
config3_epochs50_lr0.001_optAdam_schedStepLR_step30_gamma0.5,1.053735660182105,51.515151515151516,0.5526674615209969,77.61194029850746,Adam,StepLR,0.5454545454545454,0.5339285714285714,0.5454545454545454,0.5267489711934156,0.2962962962962963,0.6172839506172839,0.6666666666666666
config4_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,1.6627871451541931,51.515151515151516,0.13045594874602645,95.27363184079601,Adam,ReduceLROnPlateau,0.5858585858585859,0.5921602787456446,0.5858585858585859,0.5852339458896836,0.4262295081967213,0.5675675675675675,0.7619047619047619
config5_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,1.1327088764219573,58.58585858585859,0.3101087117669594,87.81094527363184,Adam,ReduceLROnPlateau,0.6060606060606061,0.6288038317023824,0.6060606060606061,0.6066747717466447,0.4666666666666667,0.6075949367088608,0.7457627118644068
config6_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,1.3722600787501744,53.535353535353536,0.22005443638236963,91.04477611940298,Adam,ReduceLROnPlateau,0.6363636363636364,0.6560021013921723,0.6363636363636364,0.6335249042145593,0.5172413793103449,0.65,0.7333333333333333
config7_epochs50_lr0.001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,1.4051518564799217,55.55555555555556,0.16492608575085502,94.02985074626865,Adam,ReduceLROnPlateau,0.6262626262626263,0.6342911877394636,0.6262626262626262,0.6270951843201069,0.5483870967741935,0.6027397260273972,0.7301587301587301
config8_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.1,1.0182575113845593,55.55555555555556,0.38471387096898474,86.06965174129353,SGD,StepLR,0.6262626262626263,0.652081010776663,0.6262626262626263,0.6161310138090323,0.4642857142857143,0.6823529411764706,0.7017543859649122
config9_epochs50_lr0.001_optSGD_schedStepLR_step20_gamma0.5,1.4937363726773647,51.515151515151516,0.23044927877869772,92.03980099502488,SGD,StepLR,0.6161616161616161,0.6306755260243632,0.6161616161616162,0.6170549324129997,0.4918032786885246,0.6052631578947368,0.7540983606557377
config10_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.1,1.2806413425038559,50.505050505050505,0.3116799333498846,88.30845771144278,SGD,StepLR,0.5555555555555556,0.6068376068376069,0.5555555555555556,0.5586710239651417,0.5277777777777778,0.56,0.5882352941176471
config11_epochs50_lr0.001_optSGD_schedStepLR_step30_gamma0.5,1.2926502024209259,51.515151515151516,0.2620479494184997,90.04975124378109,SGD,StepLR,0.5353535353535354,0.5645743145743146,0.5353535353535354,0.5422434875066454,0.48,0.5151515151515151,0.631578947368421
config12_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,1.1453939567912708,53.535353535353536,0.23437849398869187,92.28855721393035,SGD,ReduceLROnPlateau,0.5858585858585859,0.6126730834177643,0.585858585858586,0.5861566484517304,0.4918032786885246,0.6,0.6666666666666666
config13_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,1.16200971768962,53.535353535353536,0.29791726579713584,90.54726368159204,SGD,ReduceLROnPlateau,0.5757575757575758,0.5802555168408827,0.5757575757575758,0.5743049841410497,0.39344262295081966,0.5675675675675675,0.7619047619047619
config14_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.1,1.1876265936427646,49.494949494949495,0.34282331057448884,87.81094527363184,SGD,ReduceLROnPlateau,0.5757575757575758,0.5925925925925926,0.5757575757575757,0.5800842992623815,0.49230769230769234,0.547945205479452,0.7
config15_epochs50_lr0.001_optSGD_schedReduceLROnPlateau_step30_gamma0.5,1.0997445834706527,55.55555555555556,0.24653294341481147,92.03980099502488,SGD,ReduceLROnPlateau,0.5959595959595959,0.6453634085213033,0.595959595959596,0.5888868671245963,0.4230769230769231,0.6067415730337079,0.7368421052631579
config16_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.1,0.8889012347643424,62.62626262626262,0.6571535586717709,70.64676616915423,Adam,StepLR,0.6767676767676768,0.6969912976328373,0.6767676767676768,0.6795132993774761,0.5806451612903226,0.6578947368421053,0.8
config17_epochs50_lr0.0001_optAdam_schedStepLR_step20_gamma0.5,0.9648175077004866,60.60606060606061,0.5438166738149539,78.85572139303483,Adam,StepLR,0.5454545454545454,0.5630665630665631,0.5454545454545454,0.5506734006734006,0.42424242424242425,0.5277777777777778,0.7
config18_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.1,0.9695526783665022,54.54545454545455,0.5387276666081366,77.61194029850746,Adam,StepLR,0.6262626262626263,0.6307471264367817,0.6262626262626263,0.6253042386493557,0.4838709677419355,0.6301369863013698,0.7619047619047619
config19_epochs50_lr0.0001_optAdam_schedStepLR_step30_gamma0.5,1.1038719848400416,55.55555555555556,0.5140879447780439,78.1094527363184,Adam,StepLR,0.6464646464646465,0.6437908496732025,0.6464646464646464,0.6444830004970479,0.5396825396825397,0.6176470588235294,0.7761194029850746
config20_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.1,0.9601351405032957,57.57575757575758,0.5051622301784914,77.86069651741293,Adam,ReduceLROnPlateau,0.5454545454545454,0.5552967563837129,0.5454545454545454,0.5356155010071221,0.39344262295081966,0.6419753086419753,0.5714285714285714
config21_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step20_gamma0.5,0.9431720870462331,57.57575757575758,0.6213108734111881,71.14427860696517,Adam,ReduceLROnPlateau,0.5252525252525253,0.5552285395763658,0.5252525252525252,0.523318455419742,0.3728813559322034,0.5542168674698795,0.6428571428571429
config22_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step30_gamma0.1,0.9985739162022417,51.515151515151516,0.5861109634537008,74.37810945273633,Adam,ReduceLROnPlateau,0.5656565656565656,0.5656669719169719,0.5656565656565656,0.5634837233197889,0.39344262295081966,0.5277777777777778,0.7692307692307693
config23_epochs50_lr0.0001_optAdam_schedReduceLROnPlateau_step30_gamma0.5,0.9214393040447524,49.494949494949495,0.6553218097829107,71.39303482587064,Adam,ReduceLROnPlateau,0.5353535353535354,0.5347365053247406,0.5353535353535354,0.5180081688556265,0.2909090909090909,0.6190476190476191,0.6440677966101694
config24_epochs50_lr0.0001_optSGD_schedStepLR_step20_gamma0.1,0.8872545785223594,55.55555555555556,0.7945581348381232,58.95522388059702,SGD,StepLR,0.5858585858585859,0.6221751412429378,0.5858585858585857,0.5646025000389172,0.32653061224489793,0.6304347826086957,0.7368421052631579
config25_epochs50_lr0.0001_optSGD_schedStepLR_step20_gamma0.5,0.9318894576093163,52.525252525252526,0.808618265894515,61.44278606965174,SGD,StepLR,0.5555555555555556,0.5779934649991146,0.5555555555555555,0.5270531400966183,0.2608695652173913,0.5869565217391305,0.7333333333333333
config26_epochs50_lr0.0001_optSGD_schedStepLR_step30_gamma0.1,0.9180598132538073,58.58585858585859,0.7881867007829657,61.44278606965174,SGD,StepLR,0.5454545454545454,0.5612105926860025,0.5454545454545454,0.5124246387444575,0.21739130434782608,0.5957446808510638,0.7241379310344828
config27_epochs50_lr0.0001_optSGD_schedStepLR_step30_gamma0.5,0.8524681410253651,54.54545454545455,0.7327617635181294,64.17910447761194,SGD,StepLR,0.494949494949495,0.49722222222222223,0.494949494949495,0.4641577060931899,0.16666666666666666,0.5591397849462365,0.6666666666666666
config28_epochs50_lr0.0001_optSGD_schedReduceLROnPlateau_step20_gamma0.1,0.9246460337455225,57.57575757575758,0.778835613336136,61.940298507462686,SGD,ReduceLROnPlateau,0.494949494949495,0.48962703962703963,0.494949494949495,0.44778396206967636,0.13333333333333333,0.5918367346938775,0.6181818181818182
config29_epochs50_lr0.0001_optSGD_schedReduceLROnPlateau_step20_gamma0.5,0.8739922810534034,58.58585858585859,0.7480157438795365,61.691542288557216,SGD,ReduceLROnPlateau,0.5454545454545454,0.530145202020202,0.5454545454545454,0.4924310933535024,0.13636363636363635,0.6391752577319587,0.7017543859649122
